FlightDateTime,Flight,Model,Variable,MEAN,MAX,MIN,MEDIAN,STD,SRC_WT_MEAN
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,Psi_M,,,,,,
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,Psi_H,,,,,,
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,r_aH,,,,,,
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,r_bH,,,,,,
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,r_H,85.78667449951172,350.74810791015625,-27.552734375,82.14830780029297,48.4234733581543,61.260633041479515
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,L,,,,,,
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,H,168.40338134765625,214.4907989501953,106.34564208984375,170.0829315185547,72.22347259521484,151.891772085756
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,LE,278.4692077636719,354.6785888671875,175.85147094726562,281.2464599609375,102.19808197021484,251.1658299070665
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,ET,0.40801283717155457,0.5196747183799744,0.25765740871429443,0.4120820164680481,0.19949103891849518,0.3680079053656817
2021-03-01 13:00:00-08:00,2021-03-01 12:30:19-08:00,Bowen,EF,0.6231417655944824,0.6231513023376465,0.6231511235237122,0.6231511831283569,0.19949103891849518,0.5435843926092754
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,zeta,0.0,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,u_star,0.2710764784827602,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,Psi_M,0.0,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,Psi_H,0.0,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,r_aH,87.14273980790004,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,r_bH,5.8263386586995765,12.029783786017218,1.2033727755486945,5.339925727117097,2.1821220366972467,3.4092463594766715
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,r_H,92.96907846659981,99.17252359391726,88.34611258344874,92.48266553501713,2.1821220366972685,65.96339049967528
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,L,-10.170679000423918,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,H,141.1264157779715,389.33870769537566,0.0,141.81323424503609,39.22378495952792,87.834031483526
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,LE,395.9632328145546,636.6572265625,0.0,396.2995141814793,70.60899356778266,312.306809199487
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,ET,0.5804757009122479,0.9333292063578975,0.0,0.5809686839621695,0.10351164359533782,0.4578367357017817
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Neutral,EF,0.7321709425927407,1.0,0.0,0.7358882343524493,0.08885117162501853,0.5587233778123012
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,zeta,-4.0302449005704375,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,u_star,0.3661364767570286,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,Psi_M,1.926642171596157,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,Psi_H,3.0285424021633327,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,r_aH,44.35652617358888,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,r_bH,5.055761241818599,10.438753765538644,1.0442176115173982,4.633680104577775,1.8935198697352564,2.958347706465178
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,r_H,49.41228741540722,54.795279939127525,45.40074378510628,48.99020627816666,1.8935198697353444,34.79903274732762
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,L,-14.958727031180018,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,H,265.1941087577631,727.1375517754955,0.0,266.7144176866113,72.24147772763195,166.43898107667886
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,LE,271.9597120945753,636.6572265625,0.0,270.16520748751816,101.62614343532142,233.70198220803226
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,ET,0.39868854331717124,0.9333292063578975,0.0,0.39605782856073246,0.14898228409436554,0.34260332951247435
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Dyer,EF,0.497306645392718,1.0,0.0,0.5026535642186534,0.16240958201839886,0.4164636128746121
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,zeta,-5.224732812102626,,,,,
