,Slope,Intercept,R2,p,StandardError,n
ALL,1.3372275455889693,-100.3186114647923,0.9729385601878838,4.659623104386496e-77,0.022761581779130145,98.0
SN52,1.3833264937415755,-113.98306486902885,0.989836426080431,1.7321813592697283e-87,0.015115307204487503,88.0
SN75,2.0420170197772127,-302.5531588952041,0.9797085443176952,4.673762542514119e-08,0.10390166764074067,10.0
