,Slope,Intercept,R2,p,StandardError,n
ALL,1.3372275455889686,-8.204907387165282,0.9729385601878832,4.6596231043920595e-77,0.022761581779130423,98.0
SN52,1.3833264937415755,-9.277433103517499,0.9898364260804314,1.7321813592664788e-87,0.015115307204487172,88.0
SN75,2.0420170197772127,-17.926209943058637,0.9797085443176954,4.6737625425139105e-08,0.10390166764074009,10.0
